"","time","mean","conf.low","conf.high"
"1",1,3261.34806512202,2606.29112702706,4037.11729201977
"2",2,2954.9548173559,2359.46261549888,3634.28036151328
"3",3,2639.08944282807,2116.81010354562,3222.86746936771
"4",4,2326.38326827111,1842.1571727109,2844.11214433644
"5",5,2012.46444432139,1606.9542171839,2481.83413707344
"6",6,1735.62619736336,1394.98497861636,2139.71089948642
"7",7,1459.31600400977,1172.43101856112,1776.97250688723
"8",8,1181.05956382263,938.435180896273,1457.35694723097
"9",9,929.72335369033,743.062738014857,1152.39229737059
"10",10,769.452818756406,602.345090087218,950.361093128772
"11",11,683.068270503485,548.025224751549,849.024371349551
"12",12,676.610849629861,531.513201207245,843.314100502135
"13",13,764.822532237457,604.368801125075,946.973848246572
"14",14,800.749739404294,642.902029032505,981.541496515615
"15",15,791.21577687989,634.633616002832,977.048924017898
"16",16,759.327045929102,600.870494021242,937.587003163877
"17",17,734.768856359003,586.029897144382,903.653909564122
"18",18,787.679749376331,631.608260055823,957.452179429525
"19",19,1135.94725181799,907.123184979083,1384.75315577158
"20",20,1577.04517164839,1253.06634723579,1937.21541884887
"21",21,1986.35080712148,1605.50118150549,2462.60182828735
"22",22,2223.82297556415,1768.70314776681,2762.83226523283
"23",23,2402.75269548773,1930.74814718088,2970.11270570601
"24",24,2688.90699701275,2170.91508465351,3337.90860398112
"25",25,3067.09351158474,2459.02643275143,3759.46887586067
"26",26,3354.3447169141,2607.16703324049,4214.3487444592
"27",27,3600.48641229265,2844.44744136179,4473.2318647175
"28",28,3886.50455510554,3095.67109720567,4815.86814472321
"29",29,4099.15846143743,3266.31440806478,5045.2399565594
"30",30,4378.03243459665,3445.06888258888,5376.86520109235
"31",31,4605.32955280606,3628.44104114712,5670.28744997453
"32",32,4861.68127385891,3865.95711265447,6090.5086419428
"33",33,5024.92900612283,3969.68612489117,6274.02117424322
"34",34,4975.21407483496,3962.98999311862,6172.92743436341
"35",35,4818.23337456876,3845.31020245201,5994.40495135584
"36",36,4524.75539997633,3616.77473111796,5549.87199001373
"37",37,4134.16990484293,3278.19131857708,5121.47379003316
"38",38,3631.57498006989,2816.45721161413,4520.72200698653
"39",39,3092.31543180279,2487.69967634311,3807.68739200087
"40",40,2576.45000208991,2071.21408652254,3183.72217260911
"41",41,2043.38543122497,1632.53824795208,2530.7543069021
"42",42,1614.14964603154,1264.83651237277,1995.74685435387
"43",43,1234.20959184273,988.785239999511,1521.73732348312
"44",44,987.452109642223,783.837592093097,1231.64361516338
"45",45,803.515792551148,646.112717809229,986.298010142126
"46",46,712.39440356855,571.999157042834,876.773579436148
"47",47,651.204301151621,525.406616739658,804.291756804187
"48",48,636.145299349576,506.006428268175,788.093265660092
"49",49,630.651498157523,505.056052832111,777.248505304486
"50",50,613.851344187521,489.34791688966,756.204391498343
"51",51,594.35030952631,474.75055357902,731.102800518742
"52",52,578.834440658618,456.356254587825,723.97096215856
"53",53,572.6691879281,454.981829273198,705.300545816888
"54",54,559.437754740451,453.200426290713,685.911742633972
"55",55,537.243302996683,426.379687192761,667.175716831345
"56",56,504.19130559811,407.602911083015,626.416010123511
"57",57,470.162490351201,378.63640581368,574.620892410773
"58",58,453.06673436596,358.839066996816,568.091020800527
"59",59,437.030991032511,354.609189597891,547.055113129637
"60",60,431.567865768193,344.652100250687,532.430396470371
"61",61,438.067024172261,348.597360843266,540.617928647032
"62",62,439.374844487014,349.460827611972,550.497322323492
